0.0087147,-0.024991
0.0088553,-0.024784
0.0090063,-0.024575
0.0091677,-0.024363
0.0093387,-0.02415
0.0095184,-0.023935
0.0097072,-0.023718
0.0099045,-0.0235
0.01011,-0.023282
0.010322,-0.023063
0.010542,-0.022843
0.010769,-0.022623
0.011002,-0.022403
0.011241,-0.022184
0.011485,-0.021964
0.011735,-0.021745
0.01199,-0.021526
0.01225,-0.021308
0.012513,-0.02109
0.01278,-0.020873
0.013051,-0.020657
0.013324,-0.020441
0.013601,-0.020225
0.01388,-0.02001
0.014162,-0.019795
0.014445,-0.01958
0.014729,-0.019366
0.015015,-0.019152
0.015301,-0.018937
0.015588,-0.018722
0.015876,-0.018506
0.016163,-0.018289
0.01645,-0.018072
0.016736,-0.017852
0.017021,-0.017631
0.017304,-0.017408
0.017585,-0.017183
0.017865,-0.016954
0.018142,-0.016722
0.018415,-0.016487
0.018686,-0.016249
0.018952,-0.016005
0.019215,-0.015758
0.019473,-0.015505
0.019726,-0.015247
0.019973,-0.014984
0.020215,-0.014716
0.02045,-0.014441
0.020678,-0.014161
0.020899,-0.013875
0.021112,-0.013582
0.021318,-0.013284
0.021514,-0.012981
0.021703,-0.012672
0.021882,-0.012358
0.022053,-0.012038
0.022214,-0.011714
0.022367,-0.011386
0.02251,-0.011054
0.022644,-0.010719
0.02277,-0.01038
0.022888,-0.010038
0.022997,-0.0096938
0.023099,-0.0093472
0.023193,-0.0089987
0.02328,-0.0086485
0.023362,-0.0082968
0.023437,-0.0079438
0.023507,-0.0075897
0.023572,-0.0072348
0.023633,-0.0068791
0.02369,-0.0065228
0.023744,-0.006166
0.023794,-0.0058089
0.023843,-0.0054516
0.023889,-0.0050942
0.023934,-0.004737
0.023978,-0.00438
0.024021,-0.0040234
0.024063,-0.0036674
0.024106,-0.0033121
0.024149,-0.0029577
0.024193,-0.0026044
0.024237,-0.0022525
0.024283,-0.001902
0.02433,-0.0015533
0.024379,-0.0012066
0.02443,-0.00086215
0.024483,-0.00052022
0.024538,-0.00018111
0.024596,0.00015486
0.024656,0.00048741
0.024719,0.0008162
0.024785,0.0011408
0.024854,0.001461
0.024926,0.0017763
0.025001,0.0020862
0.025079,0.0023906
0.02516,0.0026888
0.025244,0.0029805
0.025332,0.0032651
0.025423,0.0035423
0.025517,0.0038115
0.025615,0.0040722
0.025716,0.004324
0.02582,0.0045662
0.025927,0.0047984
0.026037,0.00502
0.026151,0.0052305
0.026267,0.0054293
0.026386,0.005616
0.026507,0.00579
0.026632,0.0059509
0.026758,0.006098
0.026887,0.006231
0.027018,0.0063495
0.02715,0.0064529
0.027285,0.0065411
0.02742,0.0066137
0.027557,0.0066703
0.027695,0.0067109
0.027833,0.0067352
0.027971,0.0067433
0.02811,0.0067349
0.028248,0.0067103
0.028385,0.0066693
0.028522,0.0066123
0.028658,0.0065395
0.028792,0.0064509
0.028924,0.0063471
0.029055,0.0062284
0.029184,0.0060951
0.029311,0.0059476
0.029435,0.0057865
0.029557,0.0056122
0.029676,0.0054252
0.029792,0.0052261
0.029905,0.0050153
0.030015,0.0047935
0.030122,0.004561
0.030226,0.0043185
0.030327,0.0040666
0.030424,0.0038057
0.030519,0.0035363
0.03061,0.0032589
0.030697,0.002974
0.030782,0.0026822
0.030863,0.0023838
0.030941,0.0020793
0.031016,0.0017692
0.031087,0.0014537
0.031156,0.0011334
0.031222,0.00080869
0.031285,0.00047979
0.031345,0.00014718
0.031403,-0.00018889
0.031458,-0.00052806
0.031511,-0.00087004
0.031562,-0.0012146
0.03161,-0.0015613
0.031658,-0.0019101
0.031703,-0.0022606
0.031748,-0.0026126
0.031792,-0.002966
0.031835,-0.0033204
0.031877,-0.0036758
0.03192,-0.0040318
0.031963,-0.0043885
0.032007,-0.0047455
0.032052,-0.0051027
0.032098,-0.00546
0.032147,-0.0058173
0.032198,-0.0061744
0.032251,-0.0065312
0.032308,-0.0068875
0.032369,-0.0072431
0.032435,-0.0075981
0.032505,-0.0079521
0.03258,-0.008305
0.032662,-0.0086567
0.03275,-0.0090069
0.032844,-0.0093553
0.032946,-0.0097018
0.033056,-0.010046
0.033173,-0.010388
0.0333,-0.010726
0.033434,-0.011062
0.033578,-0.011394
0.033731,-0.011722
0.033892,-0.012045
0.034063,-0.012364
0.034243,-0.012679
0.034431,-0.012987
0.034629,-0.013291
0.034834,-0.013589
0.035048,-0.013881
0.035269,-0.014167
0.035497,-0.014447
0.035733,-0.014721
0.035974,-0.01499
0.036222,-0.015252
0.036475,-0.01551
0.036733,-0.015762
0.036996,-0.01601
0.037263,-0.016253
0.037533,-0.016492
0.037807,-0.016727
0.038084,-0.016958
0.038364,-0.017187
0.038645,-0.017412
0.038929,-0.017636
0.039214,-0.017857
0.0395,-0.018076
0.039786,-0.018294
0.040073,-0.018511
0.040361,-0.018727
0.040648,-0.018942
0.040934,-0.019156
0.04122,-0.019371
0.041505,-0.019585
0.041788,-0.0198
0.042069,-0.020015
0.042348,-0.02023
0.042625,-0.020446
0.042899,-0.020662
0.043169,-0.020879
0.043436,-0.021096
0.0437,-0.021314
0.043959,-0.021532
0.044214,-0.021751
0.044463,-0.02197
0.044708,-0.02219
0.044947,-0.022409
0.04518,-0.022629
0.045406,-0.022849
0.045626,-0.023069
0.045839,-0.023288
0.046043,-0.023506
0.04624,-0.023724
0.046429,-0.023941
0.046609,-0.024156
0.046779,-0.02437
0.04694,-0.024582
0.04709,-0.024792
0.04723,-0.024999
0.047359,-0.025203
0.047477,-0.025404
0.047583,-0.025602
0.047676,-0.025795
0.047757,-0.025985
